"","Host","Amenity"
"370",40,"Dryer"
"371",40,"Laptop friendly workspace"
"372",40,"Hair dryer"
"373",40,"Iron"
"374",40,"Essentials"
"375",40,"Hangers"
"376",40,"Heating"
"377",40,"Washer"
"378",40,"Kitchen"
"379",40,"Wireless Internet"
"380",41,"Free parking on premise"
"381",41,"Cable TV"
"382",41,"Internet"
"383",41,"Essentials"
"384",41,"Wheelchair accessible"
"385",41,"Heating"
"386",41,"Washer"
"387",41,"TV"
"388",41,"Kitchen"
"389",41,"Wireless Internet"
"390",42,"Cable TV"
"391",42,"Internet"
"392",42,"Laptop friendly workspace"
"393",42,"Iron"
"394",42,"Essentials"
"395",42,"Hangers"
"396",42,"Heating"
"397",42,"Washer"
"398",42,"TV"
"399",42,"Kitchen"
"400",42,"Private entrance"
"401",42,"Wireless Internet"
"402",43,"Free parking on premise"
"403",43,"Cable TV"
"404",43,"Internet"
"405",43,"Dryer"
"406",43,"Hair dryer"
"407",43,"Iron"
"408",43,"Hangers"
"409",43,"Heating"
"410",43,"Washer"
"411",43,"TV"
"412",43,"Kitchen"
"413",43,"Wireless Internet"
"414",44,"Free parking on premise"
"415",44,"Internet"
"416",44,"Dryer"
"417",44,"Hair dryer"
"418",44,"Essentials"
"419",44,"Heating"
"420",44,"Washer"
"421",44,"TV"
"422",44,"Kitchen"
"423",44,"Wireless Internet"
"424",45,"Internet"
"425",45,"Hair dryer"
"426",45,"Essentials"
"427",45,"Hangers"
"428",45,"Heating"
"429",45,"Washer"
"430",46,"Free parking on premise"
"431",46,"Internet"
"432",46,"Dryer"
"433",46,"Laptop friendly workspace"
"434",46,"Essentials"
"435",46,"Hangers"
"436",46,"Heating"
"437",46,"Washer"
"438",46,"Kitchen"
"439",46,"Private entrance"
"440",46,"Wireless Internet"
"441",47,"Internet"
"442",47,"Dryer"
"443",47,"Laptop friendly workspace"
"444",47,"Iron"
"445",47,"Essentials"
"446",47,"Wheelchair accessible"
"447",47,"Heating"
"448",47,"Washer"
"449",47,"Kitchen"
"450",47,"Wireless Internet"
"451",48,"Free parking on premise"
"452",48,"Cable TV"
"453",48,"Internet"
